Include,Color,Pos,Primers,Treat,Name,Tech_rep,Cp,Concentration,Standard,Status
TRUE,255,A1,Vip,Std,15,NA,26.91,1,0,
TRUE,255,A2,hmg,Std,15,NA,23,1,0,
TRUE,255,A3,Vip,Vip,FCVF1,1,25.69,,0,
TRUE,255,A4,Vip,Close_ref,FCRC3,1,27.5,,0,
TRUE,65280,A5,Vip,Far_ref,FCRF6,1,,,0,
TRUE,255,A6,Vip,Close_ref,FCRC1,2,27.25,,0,
TRUE,255,A7,Vip,Far_ref,FCRF3,2,30,,0,Late
TRUE,255,A8,hmg,Vip,FCVF1,1,23.29,,0,
TRUE,255,A9,hmg,Close_ref,FCRC3,1,23.73,,0,
TRUE,255,A10,hmg,Far_ref,FCRF6,1,23.26,,0,
TRUE,255,A11,hmg,Close_ref,FCRC1,2,23.28,,0,
TRUE,255,A12,hmg,Far_ref,FCRF3,2,23.47,,0,
TRUE,255,B1,Vip,Std,1.5,NA,30,0,0,Late
TRUE,255,B2,hmg,Std,1.5,NA,26.84,0,0,
TRUE,255,B3,Vip,Vip,FCVF2,1,25.54,,0,
TRUE,255,B4,Vip,Close_ref,FCRC4,1,27.09,,0,
TRUE,255,B5,Vip,Far_ref,FCRF8,1,27.31,,0,
TRUE,255,B6,Vip,Close_ref,FCRC2,2,27.24,,0,
TRUE,65280,B7,Vip,Far_ref,FCRF5,2,,,0,
TRUE,255,B8,hmg,Vip,FCVF2,1,23.09,,0,
TRUE,255,B9,hmg,Close_ref,FCRC4,1,23.5,,0,
TRUE,255,B10,hmg,Far_ref,FCRF8,1,23.1,,0,
TRUE,255,B11,hmg,Close_ref,FCRC2,2,23.36,,0,
TRUE,255,B12,hmg,Far_ref,FCRF5,2,23.02,,0,
TRUE,255,C1,Vip,Std,0.15,NA,34,-1,0,Late
TRUE,255,C2,hmg,Std,0.15,NA,30,-1,0,Late
TRUE,255,C3,Vip,Vip,FCVF3,1,25.49,,0,
TRUE,255,C4,Vip,Close_ref,FCRC5,1,27.96,,0,
TRUE,255,C5,Vip,Vip,FCVF1,2,25.68,,0,
TRUE,255,C6,Vip,Close_ref,FCRC3,2,27.24,,0,
TRUE,255,C8,hmg,Vip,FCVF3,1,23.08,,0,
TRUE,255,C9,hmg,Close_ref,FCRC5,1,23.56,,0,
TRUE,255,C10,hmg,Vip,FCVF1,2,22.98,,0,
TRUE,255,C11,hmg,Close_ref,FCRC3,2,23.63,,0,
TRUE,255,C12,hmg,Far_ref,FCRF6,2,23.36,,0,
TRUE,65280,D1,Vip,Std,0.015,NA,,,0,
TRUE,65280,D2,hmg,Std,0.015,NA,,,0,
TRUE,255,D3,Vip,Vip,FCVF4,1,25.81,,0,
TRUE,255,D4,Vip,Close_ref,FCRC6,1,27.88,,0,
TRUE,255,D5,Vip,Vip,FCVF2,2,25.64,,0,
TRUE,255,D6,Vip,Close_ref,FCRC4,2,27.02,,0,
TRUE,65280,D7,Vip,Far_ref,FCRF6,2,,,0,
TRUE,255,D8,hmg,Vip,FCVF4,1,23.05,,0,
TRUE,255,D9,hmg,Close_ref,FCRC6,1,23.05,,0,
TRUE,255,D10,hmg,Vip,FCVF2,2,23.11,,0,
TRUE,255,D11,hmg,Close_ref,FCRC4,2,23.14,,0,
TRUE,255,D12,hmg,Far_ref,FCRF8,2,23.08,,0,
TRUE,65280,E1,Vip,,neg,,,,0,
TRUE,65280,E2,hmg,,neg,,,,0,
TRUE,255,E3,Vip,Vip,FCVF5,1,25.56,,0,
TRUE,255,E4,Vip,Far_ref,FCRF1,1,28.38,,0,
TRUE,255,E5,Vip,Vip,FCVF3,2,25.28,,0,
TRUE,255,E6,Vip,Close_ref,FCRC5,2,28.02,,0,
TRUE,65280,E7,Vip,Far_ref,FCRF8,2,,,0,
TRUE,255,E8,hmg,Vip,FCVF5,1,23.46,,0,
TRUE,255,E9,hmg,Far_ref,FCRF1,1,23.27,,0,
TRUE,255,E10,hmg,Vip,FCVF3,2,23,,0,
TRUE,255,E11,hmg,Close_ref,FCRC5,2,23.71,,0,
TRUE,65280,E12,hmg,NA,neg,,,,0,
TRUE,255,F3,Vip,Vip,FCVF6,1,25.59,,0,
TRUE,255,F4,Vip,Far_ref,FCRF2,1,27.71,,0,
TRUE,255,F5,Vip,Vip,FCVF4,2,25.76,,0,
TRUE,255,F6,Vip,Close_ref,FCRC6,2,27.5,,0,
TRUE,65280,F7,Vip,NA,neg,,,,0,
TRUE,255,F8,hmg,Vip,FCVF6,1,23.27,,0,
TRUE,255,F9,hmg,Far_ref,FCRF2,1,23.3,,0,
TRUE,255,F10,hmg,Vip,FCVF4,2,22.8,,0,
TRUE,255,F11,hmg,Close_ref,FCRC6,2,23.02,,0,
TRUE,255,G3,Vip,Close_ref,FCRC1,1,27.01,,0,
TRUE,255,G4,Vip,Far_ref,FCRF3,1,30,,0,Late
TRUE,255,G5,Vip,Vip,FCVF5,2,25.51,,0,
TRUE,255,G6,Vip,Far_ref,FCRF1,2,28.39,,0,
TRUE,255,G8,hmg,Close_ref,FCRC1,1,23.31,,0,
TRUE,255,G9,hmg,Far_ref,FCRF3,1,23.52,,0,
TRUE,255,G10,hmg,Vip,FCVF5,2,23.25,,0,
TRUE,255,G11,hmg,Far_ref,FCRF1,2,23.2,,0,
TRUE,255,H3,Vip,Close_ref,FCRC2,1,27.2,,0,
TRUE,65280,H4,Vip,Far_ref,FCRF5,1,,,0,
TRUE,255,H5,Vip,Vip,FCVF6,2,25.6,,0,
TRUE,255,H6,Vip,Far_ref,FCRF2,2,27.68,,0,
TRUE,255,H8,hmg,Close_ref,FCRC2,1,23.58,,0,
TRUE,255,H9,hmg,Far_ref,FCRF5,1,23.19,,0,
TRUE,255,H10,hmg,Vip,FCVF6,2,23.15,,0,
TRUE,255,H11,hmg,Far_ref,FCRF2,2,23.16,,0,
